g111	g112	g113	g121	g122	g123	g131	g132	g133	g14	g15	g211	g212	g213	g214	g215	g216	g217	g218	g219	g2110	g22	g23	g24	g25	g26	g3
0 1	1 2	0 1	1 2	5 8	2 3	0 1	0 1	5 8	1 2	0 0	11 16	7 7	16 16	20 20	1 1	42 42	3756 3756	7 7	2 2	1 1	0 1	3 4	1 2	1 2	1 2	120605 180908	
1 2	3 4	0 0	1 2	6 9	4 7	0 0	2 3	2 3	0 1	0 0	8 12	43 43	96 96	176 176	8 8	24 24	17324 17324	16 16	4 4	4 4	2 3	3 4	1 2	4 6	1 2	158566 237849	
3 4	3 4	1 2	6 9	7 10	5 8	3 4	0 0	0 1	3 4	1 1	22 33	43 43	87 87	171 171	9 9	13 13	18598 18598	17 17	3 3	4 4	2 3	2 3	0 1	4 6	3 4	275876 413814	
1 2	3 4	2 3	0 1	3 4	5 8	0 0	2 3	4 6	4 6	0 0	8 13	50 50	96 96	200 200	10 10	42 42	19811 19811	13 13	5 5	5 5	1 2	4 6	4 6	1 2	1 2	106996 160494	
2 3	0 1	2 3	4 7	8 12	3 4	0 1	0 1	5 8	2 3	1 1	14 21	23 23	37 37	69 69	4 4	29 29	8815 8815	17 17	5 5	2 2	1 2	4 6	4 6	2 3	2 3	209147 313720	
1 2	3 4	1 2	1 2	3 4	3 4	2 3	3 4	3 4	2 3	1 1	23 34	50 50	94 94	198 198	9 9	42 42	19062 19062	7 7	2 2	5 5	0 1	1 2	4 6	3 4	3 4	251704 377557	
2 3	2 3	3 4	1 2	3 4	7 10	1 2	0 1	6 9	3 4	0 0	0 1	40 40	75 75	156 156	7 7	27 27	15720 15720	13 13	5 5	3 3	4 6	2 3	4 6	0 1	0 1	80000 120000	
3 4	3 4	1 2	4 7	2 3	1 2	3 4	1 2	4 7	1 2	1 1	20 30	16 16	28 28	77 77	4 4	2 2	5865 5865	7 7	3 3	5 5	1 2	1 2	3 4	1 2	3 4	228920 343381	
0 1	0 1	0 1	3 4	4 7	6 9	0 0	0 1	0 1	0 1	0 0	12 18	12 12	38 38	51 51	3 3	30 30	6088 6088	14 14	5 5	2 2	1 2	1 2	3 4	2 3	1 2	103980 155970	
0 1	0 0	3 4	8 12	3 4	3 4	0 0	3 4	0 1	3 4	1 1	16 25	11 11	18 18	20 20	2 2	27 27	3068 3068	7 7	1 1	3 3	1 2	4 6	2 3	1 2	2 3	164810 247215	
1 2	1 2	0 1	0 1	3 4	2 3	4 6	2 3	2 3	2 3	1 1	15 22	3 3	6 6	27 27	1 1	35 35	2072 2072	0 0	4 4	1 1	3 4	4 6	2 3	1 2	2 3	175865 263798	
0 1	2 3	2 3	3 4	1 2	2 3	1 2	1 2	3 4	2 3	0 0	3 4	11 11	10 10	23 23	2 2	35 35	3659 3659	11 11	4 4	3 3	0 1	0 1	3 4	0 1	0 1	80000 120000	
0 0	3 4	1 2	3 4	4 6	0 1	1 2	2 3	0 1	4 6	1 1	18 27	0 0	2 2	17 17	0 0	38 38	622 622	4 4	4 4	3 3	3 4	1 2	0 1	4 6	2 3	206148 309223	
1 2	1 2	1 2	2 3	3 4	1 2	2 3	2 3	4 6	0 1	1 1	16 24	26 26	60 60	99 99	5 5	36 36	11659 11659	12 12	1 1	2 2	0 1	1 2	3 4	4 6	2 3	221483 332224	
3 4	0 1	2 3	7 10	4 7	7 10	4 6	0 1	6 9	1 2	1 1	11 16	48 48	94 94	177 177	10 10	14 14	19138 19138	10 10	4 4	5 5	0 1	3 4	1 2	0 1	2 3	213448 320173	
0 0	0 1	3 4	8 12	7 10	3 4	2 3	2 3	5 8	0 1	0 0	5 8	8 8	14 14	10 10	1 1	23 23	2524 2524	3 3	3 3	2 2	4 6	2 3	3 4	0 1	0 1	83673 125510	
1 2	0 1	0 0	2 3	4 7	8 12	2 3	0 1	6 9	4 6	1 1	23 34	45 45	88 88	180 180	8 8	15 15	17307 17307	2 2	1 1	3 3	2 3	0 1	2 3	0 1	4 6	293819 440728	
0 1	2 3	2 3	0 1	2 3	6 9	2 3	3 4	4 6	1 2	1 1	19 28	50 50	91 91	200 200	10 10	16 16	19348 19348	1 1	2 2	2 2	0 1	4 6	4 6	0 1	3 4	248287 372430	
3 4	2 3	0 1	4 7	8 12	7 10	4 6	2 3	3 4	3 4	1 1	18 27	37 37	87 87	187 187	8 8	44 44	16783 16783	20 20	2 2	4 4	0 1	3 4	1 2	4 6	3 4	265028 397542	
3 4	0 1	0 1	3 4	3 4	5 8	0 1	3 4	6 9	0 1	0 0	11 16	10 10	11 11	10 10	1 1	35 35	2100 2100	8 8	1 1	4 4	3 4	3 4	3 4	4 6	1 2	142466 213699	
0 0	0 0	2 3	5 8	5 8	3 4	2 3	2 3	6 9	4 6	1 1	15 22	4 4	2 2	12 12	1 1	17 17	754 754	19 19	1 1	4 4	2 3	3 4	2 3	0 1	2 3	177077 265616	
2 3	0 1	0 1	5 8	6 9	2 3	0 0	3 4	3 4	1 2	1 1	22 33	27 27	55 55	142 142	6 6	30 30	12513 12513	20 20	3 3	2 2	1 2	0 1	0 1	1 2	4 6	320000 480000	
1 2	0 0	3 4	1 2	8 12	2 3	1 2	2 3	4 7	1 2	0 0	4 7	30 30	53 53	90 90	5 5	12 12	10483 10483	20 20	2 2	5 5	0 1	3 4	3 4	2 3	0 1	84460 126691	
0 1	0 0	0 1	0 1	6 9	5 8	2 3	0 0	3 4	0 1	0 0	0 1	23 23	58 58	88 88	5 5	17 17	10304 10304	8 8	2 2	4 4	1 2	0 1	3 4	0 1	0 1	80000 120000	
1 2	2 3	0 1	1 2	7 10	1 2	2 3	2 3	4 7	1 2	1 1	20 30	49 49	99 99	197 197	9 9	13 13	19160 19160	10 10	2 2	4 4	2 3	3 4	0 1	2 3	4 6	306882 460323	
1 2	1 2	3 4	5 8	5 8	2 3	4 6	1 2	4 6	3 4	0 0	5 8	0 0	15 15	17 17	0 0	36 36	2073 2073	17 17	3 3	5 5	0 1	0 1	3 4	1 2	1 2	159945 239918	
2 3	2 3	2 3	8 12	1 2	3 4	3 4	2 3	2 3	4 6	1 1	17 26	22 22	50 50	90 90	5 5	30 30	8932 8932	10 10	2 2	5 5	0 1	0 1	4 6	2 3	2 3	212100 318150	
3 4	3 4	0 1	1 2	3 4	0 1	2 3	0 0	5 8	3 4	1 1	16 25	42 42	84 84	191 191	8 8	21 21	17813 17813	16 16	1 1	1 1	3 4	2 3	3 4	0 1	3 4	267118 400677	
3 4	3 4	3 4	0 1	1 2	0 1	4 6	0 0	4 6	1 2	1 1	23 34	5 5	2 2	10 10	2 2	41 41	1467 1467	14 14	4 4	4 4	4 6	0 1	3 4	1 2	4 6	294380 441571	
0 1	0 1	3 4	1 2	7 10	2 3	3 4	3 4	6 9	3 4	1 1	21 32	35 35	71 71	164 164	8 8	2 2	14603 14603	15 15	3 3	5 5	3 4	3 4	3 4	1 2	3 4	243920 365881	
2 3	3 4	0 0	4 7	6 9	1 2	0 0	0 1	4 7	0 1	1 1	18 27	9 9	22 22	43 43	1 1	25 25	4313 4313	19 19	3 3	1 1	0 1	1 2	0 1	0 1	3 4	267241 400862	
0 1	0 0	1 2	0 1	7 10	2 3	0 0	3 4	0 1	4 6	0 0	10 15	18 18	27 27	55 55	3 3	24 24	5320 5320	1 1	1 1	2 2	3 4	2 3	2 3	2 3	1 2	142044 213067	
1 2	2 3	1 2	4 7	4 7	2 3	1 2	0 0	1 2	2 3	0 0	0 1	25 25	61 61	109 109	5 5	40 40	12139 12139	15 15	5 5	1 1	4 6	0 1	4 6	0 1	0 1	84100 126151	
2 3	3 4	3 4	7 10	4 6	2 3	3 4	0 0	4 7	0 1	1 1	17 26	19 19	48 48	89 89	5 5	38 38	9176 9176	3 3	1 1	1 1	4 6	2 3	0 1	2 3	3 4	229770 344655	
2 3	3 4	1 2	3 4	6 9	3 4	0 0	0 0	2 3	4 6	1 1	16 24	49 49	100 100	200 200	9 9	4 4	19209 19209	19 19	4 4	3 3	2 3	2 3	2 3	2 3	2 3	193650 290475	
1 2	0 0	0 1	8 12	6 9	3 4	0 0	1 2	2 3	1 2	1 1	16 24	35 35	73 73	144 144	8 8	40 40	15889 15889	11 11	4 4	2 2	0 1	0 1	4 6	4 6	3 4	248654 372981	
3 4	1 2	3 4	7 10	4 6	4 7	0 0	1 2	5 8	4 6	1 1	21 32	26 26	50 50	117 117	6 6	6 6	11336 11336	8 8	4 4	2 2	0 1	1 2	1 2	2 3	4 6	319778 479667	
1 2	0 0	3 4	8 12	8 12	3 4	3 4	2 3	5 8	1 2	1 1	23 34	22 22	43 43	81 81	4 4	25 25	8246 8246	4 4	3 3	5 5	1 2	4 6	4 6	4 6	4 6	299836 449754	
2 3	1 2	3 4	4 6	4 7	4 7	1 2	0 0	3 4	3 4	0 0	8 12	23 23	55 55	96 96	4 4	37 37	9068 9068	17 17	5 5	5 5	3 4	2 3	2 3	1 2	1 2	147545 221318	
2 3	1 2	1 2	8 12	4 7	0 1	2 3	2 3	5 8	3 4	1 1	13 20	46 46	85 85	171 171	9 9	28 28	17992 17992	8 8	4 4	2 2	1 2	4 6	1 2	1 2	2 3	188248 282373	
0 0	2 3	0 0	7 10	8 12	3 4	1 2	2 3	0 1	0 1	1 1	16 24	18 18	29 29	53 53	2 2	4 4	5599 5599	14 14	3 3	3 3	2 3	2 3	3 4	1 2	2 3	203944 305917	
3 4	2 3	2 3	1 2	4 6	5 8	2 3	3 4	3 4	1 2	0 0	4 7	37 37	65 65	121 121	7 7	3 3	13493 13493	18 18	1 1	3 3	0 1	1 2	1 2	1 2	0 1	81739 122608	
2 3	0 1	0 1	4 7	5 8	0 1	4 6	2 3	2 3	0 1	1 1	12 19	50 50	89 89	200 200	9 9	12 12	19735 19735	3 3	2 2	1 1	2 3	0 1	1 2	2 3	2 3	168732 253098	
1 2	0 0	1 2	3 4	1 2	1 2	0 1	0 1	6 9	0 1	1 1	13 20	9 9	21 21	42 42	1 1	10 10	3526 3526	20 20	1 1	4 4	1 2	0 1	2 3	4 6	2 3	195953 293930	
2 3	0 1	0 0	3 4	6 9	8 12	0 0	3 4	0 1	0 1	0 0	4 6	27 27	51 51	112 112	5 5	14 14	11110 11110	3 3	3 3	4 4	2 3	0 1	1 2	0 1	0 1	80000 120000	
1 2	1 2	1 2	7 10	1 2	4 6	4 6	0 1	2 3	2 3	0 0	12 18	48 48	100 100	200 200	9 9	6 6	19472 19472	19 19	5 5	2 2	2 3	3 4	1 2	4 6	1 2	146065 219098	
2 3	3 4	0 1	4 7	5 8	6 9	4 6	0 0	1 2	4 6	0 0	7 10	1 1	15 15	10 10	1 1	37 37	1453 1453	19 19	4 4	3 3	4 6	1 2	2 3	4 6	1 2	117813 176720	
2 3	2 3	0 1	8 12	7 10	1 2	0 0	3 4	4 7	0 1	1 1	19 28	45 45	82 82	160 160	8 8	12 12	16897 16897	2 2	2 2	3 3	1 2	3 4	1 2	0 1	3 4	267766 401649	
2 3	3 4	3 4	3 4	2 3	3 4	0 0	0 1	4 6	0 1	1 1	17 26	30 30	61 61	110 110	7 7	37 37	11972 11972	0 0	1 1	4 4	4 6	4 6	2 3	3 4	2 3	204155 306232	
0 1	3 4	0 0	3 4	2 3	8 12	0 0	0 0	4 7	3 4	1 1	22 33	38 38	64 64	134 134	8 8	21 21	14568 14568	0 0	1 1	4 4	0 1	2 3	2 3	3 4	4 6	320000 480000	
0 0	0 1	0 1	6 9	1 2	4 7	3 4	2 3	3 4	0 1	0 0	6 9	8 8	16 16	14 14	1 1	20 20	2456 2456	5 5	3 3	1 1	4 6	2 3	1 2	1 2	0 1	80000 120000	
1 2	3 4	0 0	4 7	4 7	8 12	1 2	0 0	4 6	3 4	0 0	7 10	45 45	88 88	182 182	9 9	14 14	18645 18645	4 4	5 5	2 2	3 4	4 6	0 1	4 6	0 1	80869 121304	
0 0	1 2	1 2	5 8	7 10	1 2	1 2	2 3	2 3	1 2	1 1	16 24	35 35	69 69	153 153	7 7	28 28	13918 13918	4 4	2 2	4 4	0 1	3 4	3 4	3 4	2 3	217869 326804	
1 2	0 0	0 1	2 3	5 8	6 9	4 6	0 1	3 4	4 6	1 1	23 34	22 22	32 32	60 60	3 3	38 38	7526 7526	0 0	5 5	3 3	1 2	1 2	2 3	0 1	4 6	292400 438601	
3 4	0 0	0 0	0 1	4 6	4 6	2 3	3 4	4 6	1 2	0 0	11 16	44 44	84 84	152 152	8 8	5 5	15698 15698	6 6	2 2	3 3	1 2	0 1	4 6	1 2	1 2	123108 184662	
1 2	3 4	3 4	0 1	4 6	1 2	4 6	3 4	6 9	0 1	1 1	16 24	29 29	56 56	78 78	5 5	30 30	9630 9630	2 2	1 1	1 1	2 3	4 6	2 3	1 2	2 3	207776 311665	
0 0	1 2	0 1	7 10	6 9	6 9	4 6	2 3	4 7	2 3	1 1	18 27	25 25	43 43	92 92	5 5	33 33	9924 9924	6 6	3 3	1 1	2 3	0 1	0 1	2 3	3 4	228929 343394	
2 3	0 1	1 2	6 9	8 12	2 3	3 4	2 3	6 9	2 3	1 1	19 28	30 30	49 49	107 107	6 6	49 49	10990 10990	14 14	2 2	1 1	4 6	2 3	1 2	4 6	3 4	266204 399306	
2 3	2 3	0 0	0 1	6 9	6 9	0 1	2 3	6 9	2 3	1 1	18 27	3 3	10 10	22 22	1 1	27 27	2728 2728	7 7	1 1	5 5	0 1	1 2	3 4	2 3	2 3	204055 306082	
1 2	1 2	2 3	6 9	4 6	0 1	3 4	1 2	6 9	4 6	0 0	8 13	13 13	20 20	48 48	3 3	8 8	3432 3432	16 16	5 5	2 2	1 2	2 3	1 2	4 6	1 2	145452 218178	
0 1	0 0	3 4	5 8	7 10	8 12	0 1	1 2	5 8	0 1	0 0	4 7	4 4	3 3	18 18	0 0	29 29	1071 1071	13 13	1 1	1 1	0 1	1 2	4 6	3 4	0 1	80000 120000	
2 3	0 0	1 2	5 8	4 6	7 10	0 0	1 2	2 3	1 2	1 1	21 32	7 7	24 24	17 17	1 1	50 50	3451 3451	12 12	4 4	5 5	0 1	4 6	3 4	4 6	3 4	266248 399372	
3 4	2 3	0 1	4 6	5 8	4 7	4 6	3 4	0 1	1 2	1 1	23 34	27 27	49 49	128 128	5 5	11 11	11386 11386	14 14	4 4	2 2	4 6	0 1	2 3	2 3	4 6	320000 480000	
0 0	2 3	3 4	1 2	1 2	8 12	4 6	0 1	0 1	1 2	1 1	10 15	12 12	30 30	62 62	4 4	2 2	6210 6210	5 5	5 5	3 3	4 6	3 4	1 2	4 6	2 3	183051 274576	
3 4	2 3	0 1	8 12	5 8	4 7	4 6	0 1	2 3	2 3	0 0	3 4	27 27	59 59	120 120	5 5	31 31	11402 11402	12 12	4 4	2 2	0 1	2 3	1 2	4 6	0 1	80000 120000	
2 3	1 2	0 0	8 12	8 12	6 9	0 0	0 0	4 6	1 2	0 0	4 6	24 24	53 53	92 92	5 5	36 36	11047 11047	17 17	3 3	5 5	0 1	0 1	3 4	3 4	0 1	95144 142716	
0 1	0 1	2 3	1 2	1 2	5 8	0 1	0 1	4 6	1 2	1 1	13 20	50 50	92 92	200 200	10 10	20 20	19062 19062	2 2	1 1	5 5	3 4	4 6	2 3	0 1	2 3	194188 291282	
3 4	3 4	1 2	7 10	6 9	5 8	2 3	1 2	1 2	1 2	1 1	18 27	21 21	39 39	101 101	4 4	27 27	8732 8732	4 4	5 5	5 5	1 2	4 6	2 3	3 4	3 4	226130 339195	
1 2	2 3	3 4	6 9	3 4	7 10	3 4	2 3	4 6	1 2	0 0	12 18	5 5	14 14	10 10	1 1	38 38	1543 1543	4 4	1 1	2 2	1 2	1 2	2 3	0 1	1 2	151130 226695	
2 3	1 2	0 1	5 8	4 6	0 1	1 2	3 4	6 9	0 1	0 0	6 9	4 4	16 16	10 10	1 1	43 43	1611 1611	0 0	1 1	4 4	1 2	0 1	0 1	1 2	1 2	101093 151640	
3 4	3 4	3 4	0 1	1 2	0 1	4 6	3 4	6 9	0 1	0 0	12 19	37 37	68 68	141 141	7 7	23 23	13406 13406	6 6	4 4	5 5	2 3	2 3	2 3	2 3	1 2	146112 219169	
0 1	0 0	2 3	7 10	6 9	8 12	0 0	0 0	4 7	1 2	1 1	10 15	23 23	46 46	97 97	5 5	12 12	8269 8269	6 6	5 5	5 5	4 6	4 6	2 3	3 4	2 3	214159 321238	
1 2	0 0	0 1	6 9	5 8	4 6	1 2	0 0	5 8	4 6	0 0	6 9	43 43	95 95	164 164	10 10	41 41	18416 18416	10 10	3 3	1 1	3 4	4 6	0 1	1 2	0 1	80000 120000	
0 1	3 4	0 1	0 1	8 12	3 4	0 0	3 4	5 8	4 6	0 0	1 2	31 31	69 69	128 128	7 7	20 20	13573 13573	18 18	4 4	5 5	2 3	3 4	4 6	0 1	0 1	80000 120000	
3 4	2 3	2 3	1 2	8 12	1 2	3 4	0 1	6 9	4 6	0 0	8 12	29 29	53 53	112 112	6 6	14 14	10291 10291	18 18	1 1	1 1	2 3	3 4	1 2	0 1	1 2	154488 231732	
2 3	1 2	3 4	2 3	2 3	5 8	2 3	0 0	3 4	1 2	0 0	8 13	22 22	58 58	91 91	6 6	43 43	9632 9632	7 7	4 4	2 2	3 4	3 4	4 6	2 3	1 2	116579 174868	
2 3	3 4	3 4	2 3	1 2	8 12	0 1	3 4	5 8	0 1	1 1	21 32	39 39	73 73	155 155	6 6	34 34	13956 13956	18 18	1 1	1 1	4 6	4 6	0 1	0 1	4 6	288465 432698	
1 2	2 3	0 1	0 1	7 10	4 7	0 1	0 1	6 9	2 3	1 1	24 36	30 30	55 55	131 131	6 6	6 6	11480 11480	7 7	5 5	2 2	1 2	2 3	0 1	1 2	4 6	300778 451167	
1 2	1 2	2 3	4 7	1 2	3 4	1 2	0 1	1 2	2 3	0 0	8 13	15 15	33 33	34 34	4 4	39 39	5341 5341	3 3	1 1	2 2	0 1	0 1	2 3	4 6	1 2	152153 228230	
3 4	1 2	0 0	6 9	6 9	3 4	0 1	3 4	5 8	4 6	1 1	24 36	34 34	60 60	122 122	7 7	6 6	12853 12853	14 14	2 2	4 4	0 1	4 6	3 4	3 4	4 6	320000 480000	
1 2	3 4	0 0	0 1	5 8	4 6	2 3	2 3	3 4	2 3	0 0	1 2	27 27	44 44	111 111	5 5	10 10	10755 10755	13 13	3 3	4 4	1 2	4 6	1 2	4 6	0 1	80000 120000	
0 0	0 1	0 1	5 8	1 2	8 12	0 1	0 1	3 4	1 2	1 1	16 24	5 5	9 9	10 10	2 2	30 30	1514 1514	13 13	3 3	5 5	0 1	2 3	3 4	3 4	2 3	195811 293716	
2 3	2 3	3 4	7 10	4 6	4 6	3 4	1 2	4 7	2 3	1 1	13 20	43 43	100 100	174 174	8 8	12 12	18463 18463	16 16	2 2	2 2	4 6	0 1	1 2	4 6	2 3	214797 322196	
1 2	1 2	0 1	2 3	7 10	8 12	2 3	2 3	2 3	1 2	1 1	16 24	15 15	26 26	42 42	3 3	17 17	5971 5971	2 2	1 1	5 5	4 6	0 1	0 1	3 4	2 3	161986 242979	
0 1	0 0	0 0	0 1	2 3	7 10	2 3	1 2	3 4	0 1	0 0	9 14	31 31	51 51	102 102	7 7	9 9	12029 12029	8 8	2 2	1 1	1 2	2 3	1 2	4 6	1 2	110692 166038	
3 4	1 2	2 3	1 2	6 9	3 4	0 0	2 3	0 1	3 4	1 1	13 20	15 15	35 35	47 47	3 3	11 11	5837 5837	19 19	1 1	5 5	3 4	1 2	2 3	0 1	2 3	186567 279850	
2 3	0 0	3 4	8 12	3 4	4 6	3 4	2 3	2 3	4 6	1 1	16 25	33 33	51 51	101 101	6 6	13 13	11643 11643	18 18	1 1	4 4	2 3	3 4	3 4	0 1	3 4	281350 422025	
3 4	1 2	2 3	3 4	4 6	4 6	0 1	0 1	4 6	2 3	1 1	18 27	9 9	25 25	30 30	1 1	35 35	4620 4620	14 14	3 3	5 5	0 1	2 3	4 6	1 2	3 4	282132 423199	
0 0	1 2	0 0	4 7	7 10	3 4	4 6	3 4	1 2	2 3	1 1	18 27	3 3	12 12	10 10	0 0	44 44	962 962	7 7	2 2	5 5	0 1	4 6	1 2	4 6	3 4	229671 344506	
1 2	0 0	1 2	7 10	2 3	3 4	0 0	3 4	6 9	4 6	1 1	18 27	35 35	70 70	132 132	8 8	29 29	14202 14202	19 19	1 1	1 1	1 2	4 6	1 2	4 6	3 4	270624 405936	
1 2	1 2	3 4	7 10	6 9	3 4	2 3	0 0	0 1	4 6	1 1	17 26	42 42	85 85	182 182	8 8	13 13	17921 17921	16 16	1 1	2 2	4 6	0 1	3 4	3 4	3 4	248280 372420	
1 2	0 1	0 0	0 1	8 12	4 6	2 3	2 3	2 3	1 2	0 0	1 2	30 30	71 71	140 140	7 7	23 23	12849 12849	10 10	5 5	3 3	1 2	0 1	0 1	3 4	0 1	80000 120000	
2 3	1 2	2 3	8 12	3 4	1 2	0 1	0 1	2 3	3 4	1 1	19 28	25 25	43 43	102 102	5 5	40 40	10394 10394	19 19	4 4	5 5	1 2	4 6	2 3	4 6	3 4	265931 398896	
2 3	1 2	0 0	6 9	4 7	2 3	3 4	0 0	5 8	1 2	1 1	16 24	8 8	16 16	47 47	2 2	40 40	3280 3280	12 12	2 2	1 1	2 3	3 4	4 6	3 4	2 3	198764 298147	
2 3	2 3	3 4	3 4	7 10	0 1	0 0	2 3	5 8	0 1	0 0	6 9	17 17	37 37	82 82	5 5	23 23	8054 8054	4 4	4 4	3 3	3 4	1 2	4 6	0 1	0 1	87870 131805	
0 0	1 2	0 1	0 1	4 7	2 3	1 2	0 0	1 2	1 2	1 1	16 25	28 28	53 53	103 103	6 6	11 11	10501 10501	11 11	3 3	2 2	3 4	1 2	2 3	0 1	2 3	222532 333798	
0 0	0 1	3 4	5 8	1 2	1 2	3 4	3 4	0 1	1 2	0 0	7 10	38 38	87 87	176 176	9 9	48 48	15809 15809	14 14	3 3	3 3	3 4	3 4	3 4	4 6	1 2	132241 198362	
0 1	0 1	0 0	0 1	1 2	4 6	2 3	0 0	5 8	0 1	1 1	19 28	32 32	53 53	119 119	6 6	36 36	12330 12330	19 19	5 5	1 1	0 1	4 6	2 3	3 4	3 4	285945 428918	
2 3	0 0	1 2	1 2	2 3	0 1	1 2	1 2	4 7	2 3	0 0	0 1	9 9	2 2	14 14	1 1	7 7	2160 2160	7 7	1 1	4 4	1 2	1 2	0 1	1 2	0 1	86715 130072	
1 2	0 1	0 1	2 3	3 4	2 3	1 2	3 4	2 3	0 1	1 1	16 24	31 31	50 50	94 94	6 6	46 46	10695 10695	17 17	4 4	3 3	3 4	0 1	4 6	4 6	3 4	235735 353602	
2 3	3 4	0 0	2 3	8 12	1 2	2 3	2 3	1 2	2 3	1 1	16 24	8 8	23 23	36 36	2 2	46 46	3222 3222	11 11	1 1	1 1	2 3	4 6	3 4	4 6	2 3	196894 295341	
2 3	2 3	0 1	3 4	5 8	7 10	0 1	2 3	3 4	0 1	0 0	4 7	8 8	2 2	30 30	0 0	6 6	1366 1366	14 14	4 4	4 4	1 2	2 3	0 1	3 4	0 1	80000 120000	
3 4	2 3	0 1	6 9	4 6	4 7	0 0	3 4	6 9	1 2	1 1	20 31	23 23	36 36	84 84	3 3	33 33	7488 7488	7 7	3 3	3 3	2 3	3 4	2 3	2 3	3 4	228084 342127	
0 1	0 1	2 3	1 2	4 6	1 2	2 3	2 3	0 1	4 6	1 1	16 24	30 30	53 53	116 116	6 6	46 46	12451 12451	4 4	3 3	5 5	3 4	3 4	2 3	2 3	3 4	268956 403434	
1 2	0 0	3 4	5 8	6 9	1 2	4 6	1 2	1 2	1 2	1 1	17 26	30 30	50 50	123 123	6 6	19 19	10336 10336	9 9	5 5	4 4	4 6	4 6	0 1	1 2	3 4	266322 399483	
0 1	1 2	1 2	4 6	7 10	3 4	3 4	0 1	3 4	4 6	1 1	13 20	40 40	66 66	163 163	7 7	7 7	14721 14721	2 2	1 1	5 5	1 2	1 2	3 4	4 6	2 3	173174 259761	
1 2	2 3	3 4	7 10	4 6	6 9	4 6	3 4	5 8	2 3	1 1	19 28	39 39	69 69	150 150	7 7	49 49	14268 14268	11 11	3 3	4 4	3 4	0 1	0 1	4 6	3 4	278529 417794	
3 4	1 2	1 2	0 1	8 12	4 7	3 4	1 2	2 3	2 3	1 1	14 21	27 27	61 61	122 122	6 6	22 22	12170 12170	0 0	3 3	5 5	4 6	4 6	3 4	2 3	2 3	189408 284112	
1 2	2 3	0 0	5 8	2 3	2 3	1 2	1 2	1 2	1 2	1 1	16 24	6 6	2 2	13 13	1 1	44 44	1378 1378	4 4	5 5	4 4	1 2	3 4	0 1	1 2	2 3	161148 241723	
0 0	0 0	0 1	8 12	4 6	4 7	2 3	0 1	4 6	0 1	1 1	24 36	10 10	29 29	53 53	2 2	17 17	5127 5127	16 16	3 3	1 1	2 3	1 2	1 2	4 6	4 6	320000 480000	
3 4	2 3	3 4	7 10	7 10	4 7	3 4	3 4	3 4	3 4	0 0	3 4	25 25	47 47	91 91	5 5	11 11	8954 8954	14 14	3 3	5 5	4 6	4 6	0 1	0 1	0 1	80000 120000	
3 4	2 3	2 3	4 6	2 3	8 12	3 4	2 3	5 8	1 2	0 0	0 1	26 26	49 49	96 96	4 4	10 10	9429 9429	4 4	3 3	3 3	4 6	0 1	1 2	3 4	0 1	80000 120000	
1 2	2 3	2 3	4 6	4 6	5 8	0 1	3 4	0 1	1 2	0 0	0 1	50 50	88 88	199 199	9 9	31 31	19179 19179	16 16	5 5	4 4	3 4	1 2	1 2	4 6	0 1	92110 138165	
0 0	2 3	2 3	0 1	2 3	6 9	0 0	0 1	5 8	0 1	0 0	8 12	46 46	86 86	166 166	9 9	39 39	16372 16372	2 2	3 3	1 1	4 6	4 6	3 4	4 6	0 1	80000 120000	
3 4	0 0	0 1	1 2	8 12	5 8	0 0	1 2	6 9	1 2	0 0	0 1	5 5	12 12	10 10	2 2	48 48	1748 1748	0 0	2 2	1 1	4 6	1 2	3 4	2 3	0 1	80000 120000	
3 4	1 2	0 1	8 12	6 9	8 12	0 0	0 1	6 9	2 3	0 0	0 1	48 48	89 89	178 178	10 10	35 35	18656 18656	0 0	1 1	1 1	0 1	4 6	1 2	3 4	0 1	80000 120000	
2 3	0 1	3 4	2 3	8 12	4 7	2 3	0 1	3 4	0 1	0 0	9 14	21 21	31 31	80 80	5 5	43 43	7557 7557	10 10	5 5	5 5	1 2	2 3	1 2	4 6	1 2	103228 154843	
2 3	0 1	2 3	4 7	5 8	7 10	2 3	0 0	6 9	0 1	1 1	22 33	7 7	16 16	40 40	1 1	10 10	3490 3490	3 3	1 1	4 4	1 2	2 3	3 4	2 3	3 4	245867 368800	
0 1	0 0	1 2	7 10	2 3	4 6	0 0	3 4	5 8	1 2	1 1	18 27	6 6	9 9	18 18	1 1	39 39	639 639	14 14	3 3	5 5	2 3	1 2	2 3	4 6	3 4	233768 350652	
0 1	3 4	0 0	8 12	8 12	0 1	3 4	0 0	5 8	4 6	0 0	4 6	9 9	13 13	24 24	2 2	37 37	2558 2558	18 18	1 1	5 5	2 3	0 1	0 1	1 2	0 1	87429 131144	
3 4	0 1	2 3	4 6	4 7	4 7	1 2	0 0	4 7	3 4	0 0	2 3	5 5	24 24	49 49	2 2	40 40	3358 3358	13 13	5 5	4 4	2 3	3 4	3 4	3 4	0 1	80000 120000	
1 2	0 1	0 0	4 7	4 7	6 9	4 6	0 0	4 7	1 2	0 0	0 1	27 27	48 48	91 91	4 4	34 34	9279 9279	0 0	2 2	3 3	0 1	2 3	3 4	1 2	0 1	80000 120000	
0 0	0 1	2 3	1 2	1 2	5 8	1 2	2 3	6 9	4 6	0 0	7 10	18 18	22 22	53 53	3 3	28 28	5629 5629	8 8	2 2	5 5	4 6	1 2	3 4	4 6	0 1	80000 120000	
